,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
13078,0.050476294,0.13752285,0.8485308,-0.74177235,-0.2173277,0.96695876,0.008529956,-0.28536284,-0.3536648,-0.46412238,0.17839016,0.99856144,-1.0602671,-0.3904747,-1.0093926,1.6527959,1
2183,0.31405318,-1.0473027,0.24148463,-0.74177235,-1.0644995,0.33681172,-0.15640566,-1.2200729,0.26831937,-1.0315293,-0.91348714,1.2910676,-1.0602671,-1.1872264,-1.0093926,1.4990911,1
4587,1.3197317,-0.7693963,1.3298409,-0.74177235,-0.7194238,1.1349857,0.30856088,-1.2200729,1.750593,-0.9790019,-0.91348714,1.2314308,-1.0602671,-1.1872264,-1.0093926,0.8305846,1
6889,-0.13674015,-0.1768996,-0.1888461,-0.74177235,-0.16167706,-0.1322756,-0.15640566,0.124842376,-0.3536648,0.022445317,-0.91348714,-0.110752605,0.016343126,0.047486704,0.1851815,-0.15519649,1
13709,-0.13674015,-1.0473027,-0.1888461,-0.74177235,-1.0644995,-0.1322756,-0.15640566,-1.2200729,0.2538123,-1.0315293,-0.91348714,-0.110752605,-0.3819074,-1.1872264,-0.7437334,-0.15519649,1
1452,0.30397573,-0.9708745,-0.080425896,-0.74177235,-1.0478768,-0.1322756,0.2673688,-0.5308848,-0.1711935,-0.45242697,-0.91348714,-0.110752605,0.076614305,-0.5918999,0.16865237,-0.15519649,1
5400,1.5881666,-0.69044864,1.3295745,0.6410836,-0.5329935,0.4216147,1.985157,-1.2200729,1.6475646,-0.5954614,0.11718488,0.6748939,-1.0602671,-1.1872264,-1.0093926,0.19338834,1
4016,-0.13674015,2.4819536,-0.1888461,1.8179032,1.4202542,-0.1322756,-0.15640566,1.4851241,-0.3536648,1.2998767,2.9409225,-0.110752605,1.4178661,1.1488754,1.3287053,-0.15519649,2
6717,-0.13674015,-1.0473027,-0.1888461,-0.6836624,-1.0644995,-0.1322756,-0.15640566,-1.1001271,-0.09607115,-1.0315293,-0.91348714,-0.110752605,-0.7584178,-1.1872264,-0.87058413,-0.15519649,1
10318,0.3017607,-0.03626703,0.88495266,-0.74177235,-0.053187754,1.1154828,0.25202987,-0.66773677,-0.14115235,-0.31673005,-0.33966404,0.7745675,-1.0602671,-0.5509155,-1.0093926,1.3167105,1
6898,-0.13674015,-0.31009588,-0.1888461,-0.01883797,-0.1733893,-0.1322756,-0.15640566,0.4123281,-0.3536648,0.2936261,0.22230326,-0.110752605,0.2769725,-0.056493804,-0.025814911,-0.15519649,2
13270,-0.13674015,-0.6989001,-0.1888461,0.31212726,-0.853441,-0.1322756,-0.15640566,-0.15066576,-0.3536648,-0.5955108,0.07617518,-0.110752605,0.47997755,-0.6559134,0.02474148,-0.15519649,1
9039,0.079139695,-0.27803832,-0.1888461,-0.74177235,-0.17393811,-0.1322756,-0.15640566,-0.0989795,-0.093508996,0.043631054,-0.6202506,-0.110752605,-0.221001,-0.107464835,-0.0027282832,-0.15519649,2
15591,-0.13674015,-0.16785243,-0.1888461,-0.74177235,0.09302635,-0.1322756,-0.15640566,0.72753775,-0.3536648,0.72300637,0.2157596,-0.110752605,0.53424436,0.15777344,0.38600138,-0.15519649,1
6142,0.10252255,-1.0473027,0.69267976,-0.74177235,-0.9470214,0.012230027,-0.005314519,-0.9724261,0.42230514,-1.0315293,-0.91348714,0.031112641,-1.0602671,-1.1872264,-1.0093926,-0.07607831,1
13367,0.7963919,-0.8379098,0.7754521,-0.74177235,-1.0644995,0.96031076,0.54974276,-1.2200729,1.0157684,-1.0175126,-0.91348714,1.2760224,-1.0602671,-1.1872264,-1.0093926,1.2628583,1
7786,-0.13674015,-1.0473027,1.2039846,-0.74177235,-1.0644995,1.2687631,0.15319575,-0.95554197,-0.3536648,-1.0315293,-0.91348714,1.2800262,-1.0602671,-1.1872264,-1.0093926,1.1567256,1
12034,0.5086044,-1.0473027,0.92917734,-0.74177235,-1.0644995,-0.03948058,0.034950957,-1.2200729,1.6033734,-1.0315293,-0.91348714,-0.110752605,-0.3992059,-1.1872264,0.23006517,-0.15519649,1
3448,-0.13674015,-0.2202311,-0.1888461,1.2517662,-0.24735814,-0.1322756,-0.15640566,-0.24711755,-0.3536648,0.051795635,0.3331863,-0.110752605,0.37502044,-0.12790504,0.31897402,-0.15519649,1
4892,1.1028392,-0.9967076,1.1350393,-0.74177235,-1.0644995,1.0838659,0.3812107,-1.2200729,1.5394444,-1.0315293,-0.91348714,1.455348,-1.0602671,-1.1872264,-1.0093926,1.1477215,1
11042,-0.072445504,-0.19036575,-0.1888461,-0.019147256,-0.16533677,-0.1322756,0.41508877,-1.0588957,0.87398624,-0.4811355,-0.22538923,-0.110752605,-0.20159538,-0.5656047,0.05994234,-0.15519649,1
2050,1.337399,-0.7234141,0.9990967,0.037601285,-0.40658736,0.3558017,1.5004859,-1.2200729,1.4155802,-0.697641,-0.40335548,0.60221,-1.0602671,-1.1623166,-1.0093926,0.15641038,1
7945,-0.13674015,-0.27442208,-0.1888461,-0.5316184,-0.49203408,-0.1322756,-0.12236485,-0.8317162,0.24837413,-0.36461067,-0.72644943,-0.110752605,-0.1419482,-0.5498648,-0.09529632,-0.15519649,1
1420,-0.13674015,-0.5796338,-0.1888461,0.07601002,-0.6809348,-0.1322756,-0.15640566,-0.5490065,-0.3536648,-1.0315293,-0.823879,-0.110752605,-0.067729644,-0.67637825,0.06070403,-0.15519649,1
