'Contrast Feature','Dissimilarity Feature','Homogeneity Feature','Energy Feature','Correlation Feature','ASM Feature',diagnostic
0.179196,0.167078,0.917636,0.347415,0.96904,0.12077,1
0.198365,0.189211,0.906302,0.337104,0.965466,0.113724,1
0.17673,0.160888,0.921109,0.35204,0.970939,0.123988,2
0.259113,0.245285,0.878734,0.328623,0.949145,0.108115,3
0.240359,0.229362,0.88641,0.388512,0.923542,0.151147,1
0.13091,0.130657,0.934696,0.565508,0.898103,0.319868,6
0.470535,0.296659,0.866376,0.318238,0.938596,0.101365,2
0.134752,0.126236,0.937723,0.510215,0.951733,0.260383,1
0.224404,0.212121,0.895136,0.335485,0.957999,0.112613,1
1.111059,0.69882,0.690389,0.196028,0.881248,0.038539,3
0.134407,0.132837,0.933736,0.422115,0.956085,0.178218,1
0.437064,0.331054,0.844453,0.315331,0.925972,0.099509,1
0.677633,0.400298,0.824619,0.329915,0.916246,0.108886,6
0.150744,0.150424,0.92482,0.571467,0.842394,0.326723,5
0.541553,0.402315,0.812536,0.280765,0.931342,0.078955,1
0.220471,0.19534,0.90478,0.371165,0.959523,0.137815,2
0.558915,0.333571,0.853479,0.365002,0.878934,0.133392,1
0.091687,0.090333,0.954969,0.443055,0.969261,0.196327,1
0.083884,0.083862,0.958071,0.684391,0.94205,0.468408,1
0.187603,0.181572,0.909805,0.474402,0.899314,0.225131,1
0.181045,0.178799,0.910824,0.269964,0.988557,0.072899,1
1.089142,0.559393,0.766045,0.215745,0.934901,0.046634,1
0.197388,0.189988,0.905736,0.317715,0.973508,0.100975,1
0.120184,0.118373,0.940994,0.336647,0.991715,0.113352,2
0.107501,0.105437,0.947487,0.349191,0.984385,0.121971,3
0.249202,0.231198,0.886165,0.333896,0.950896,0.111576,1
0.247992,0.215185,0.895611,0.264447,0.982282,0.069983,1
0.651582,0.397841,0.823672,0.277144,0.939237,0.076858,1
0.156468,0.152302,0.924264,0.49185,0.975604,0.241957,5
0.161829,0.143626,0.929948,0.449408,0.94471,0.202059,4
0.170869,0.161082,0.920421,0.25776,0.991254,0.066465,3
0.239008,0.230055,0.885865,0.27836,0.9789,0.077544,2
0.183074,0.174732,0.91344,0.306318,0.981621,0.093849,3
0.178635,0.161601,0.920894,0.385294,0.975141,0.148523,4
0.142981,0.140969,0.929712,0.405611,0.970022,0.164562,1
0.096315,0.096285,0.951861,0.50041,0.954205,0.250432,1
0.176293,0.171239,0.914883,0.381799,0.953277,0.14581,4
0.630398,0.432437,0.802353,0.318827,0.87105,0.101787,1
1.028298,0.646599,0.712547,0.247275,0.835852,0.061428,4
0.162932,0.139174,0.93262,0.351911,0.980131,0.123883,3
0.224626,0.216952,0.89229,0.415034,0.927526,0.172615,1
0.514869,0.363556,0.83262,0.356077,0.911431,0.127025,1
1.232211,0.678295,0.711304,0.23291,0.864683,0.054404,1
0.253773,0.235,0.884313,0.450271,0.886646,0.202863,3
0.249019,0.223051,0.890965,0.43266,0.892734,0.187349,1
0.14154,0.140987,0.929562,0.55414,0.897355,0.307135,1
0.216987,0.206373,0.897858,0.363185,0.961458,0.132019,1
0.130954,0.126169,0.937344,0.404811,0.967373,0.163932,2
0.160394,0.156274,0.922272,0.391583,0.955665,0.153395,2
0.138029,0.13168,0.93478,0.31311,0.987046,0.098067,1
0.057898,0.057782,0.971121,0.462643,0.983656,0.214051,1
0.165459,0.155988,0.922915,0.410933,0.951639,0.168935,1
0.249202,0.231198,0.886165,0.333896,0.950896,0.111576,3
0.209987,0.199246,0.90144,0.326566,0.966024,0.106737,2
0.146552,0.146412,0.926808,0.505342,0.908867,0.255443,2
0.31448,0.303025,0.849629,0.29823,0.963876,0.089026,1
0.619205,0.400438,0.819929,0.321415,0.847326,0.103431,1
0.114617,0.114607,0.942697,0.642023,0.86994,0.412245,3
0.174553,0.173608,0.91329,0.379656,0.972637,0.144196,3
0.221223,0.205695,0.898631,0.411564,0.921324,0.169479,1
0.330473,0.297281,0.854594,0.283088,0.959581,0.080236,3
0.241427,0.198742,0.904549,0.375493,0.962612,0.141041,4
0.361668,0.287762,0.863316,0.328716,0.931092,0.108181,1
0.434729,0.34148,0.838298,0.255842,0.960687,0.065648,1
