0,1,2,3,4,5,6,7,8
1.0,1.0,5.0,4.0,5.0,4.0,5.0,0.9731905884044226,5.0
2.0,3.0,4.0,1.0,5.0,1.0,1.0,0.980315226249133,1.0
2.0,3.0,3.0,3.0,4.0,2.0,5.0,0.9786540020286277,5.0
1.0,1.0,5.0,3.0,4.0,3.0,1.0,0.9867165544287811,1.0
1.0,1.0,5.0,2.0,5.0,1.0,1.0,0.9814339632734721,1.0
2.0,2.0,4.0,3.0,3.0,2.0,1.0,0.9780145463516452,1.0
1.0,1.0,5.0,4.0,3.0,4.0,1.0,0.9766330192679666,1.0
3.0,4.0,2.0,2.0,3.0,1.0,3.0,0.9768993379228998,3.0
2.0,2.0,4.0,2.0,5.0,1.0,5.0,0.9816068588174678,5.0
1.0,1.0,5.0,4.0,3.0,4.0,5.0,0.9867557863472387,5.0
1.0,2.0,4.0,2.0,5.0,1.0,3.0,0.9790875043962757,3.0
4.0,4.0,2.0,1.0,4.0,1.0,2.0,0.9754154187503422,2.0
1.0,1.0,5.0,3.0,5.0,2.0,3.0,0.9802190740650082,3.0
2.0,3.0,3.0,2.0,4.0,2.0,1.0,0.974307039662422,1.0
1.0,1.0,5.0,3.0,4.0,2.0,1.0,0.9833331455548767,1.0
1.0,1.0,5.0,2.0,5.0,2.0,2.0,0.976153089279187,2.0
2.0,2.0,4.0,2.0,4.0,2.0,3.0,0.97818903650467,3.0
2.0,3.0,3.0,3.0,2.0,3.0,5.0,0.9709440456985624,5.0
1.0,2.0,4.0,2.0,5.0,2.0,4.0,0.9787591811090661,4.0
1.0,2.0,4.0,3.0,4.0,3.0,1.0,0.9800402112759243,1.0
1.0,1.0,5.0,4.0,5.0,3.0,5.0,0.9813654214169658,5.0
1.0,1.0,5.0,3.0,4.0,3.0,1.0,0.9791854411816933,1.0
2.0,3.0,3.0,1.0,4.0,1.0,2.0,0.984368740830837,2.0
2.0,3.0,4.0,3.0,2.0,3.0,5.0,0.9724392630010414,5.0
1.0,2.0,4.0,3.0,4.0,3.0,3.0,0.9802793369070711,3.0
3.0,4.0,3.0,2.0,3.0,1.0,4.0,0.9711749929515543,4.0
1.0,1.0,5.0,2.0,5.0,1.0,1.0,0.9842602318311882,1.0
1.0,1.0,5.0,1.0,5.0,1.0,1.0,0.9805649473767669,1.0
2.0,3.0,3.0,2.0,4.0,1.0,1.0,0.9800165058973459,1.0
1.0,2.0,4.0,2.0,5.0,2.0,1.0,0.984822666017239,1.0
2.0,2.0,4.0,2.0,5.0,1.0,1.0,0.9818810333177861,1.0
1.0,2.0,4.0,1.0,5.0,1.0,3.0,0.9791321032243072,3.0
1.0,1.0,5.0,3.0,4.0,2.0,1.0,0.9809456671920653,1.0
2.0,3.0,3.0,2.0,3.0,1.0,2.0,0.9837462643083925,2.0
1.0,1.0,5.0,3.0,5.0,2.0,3.0,0.9819552672536402,3.0
1.0,2.0,5.0,4.0,3.0,3.0,3.0,0.9790829721346114,3.0
1.0,2.0,4.0,2.0,5.0,1.0,3.0,0.9812728469698127,3.0
2.0,2.0,4.0,3.0,3.0,3.0,2.0,0.985566803054709,2.0
2.0,2.0,4.0,3.0,3.0,3.0,4.0,0.986075896645904,4.0
5.0,5.0,1.0,1.0,1.0,1.0,5.0,0.9051596869008319,5.0
2.0,2.0,4.0,3.0,3.0,3.0,4.0,0.9812172537479281,4.0
1.0,2.0,4.0,3.0,4.0,2.0,3.0,0.9786259418526557,3.0
1.0,1.0,5.0,3.0,5.0,2.0,1.0,0.9803703300974377,1.0
2.0,2.0,4.0,2.0,4.0,2.0,4.0,0.9849489661376845,4.0
2.0,2.0,4.0,1.0,5.0,1.0,1.0,0.9785072244307741,1.0
1.0,1.0,5.0,5.0,3.0,5.0,1.0,0.9536991558441685,1.0
1.0,1.0,5.0,2.0,5.0,2.0,1.0,0.987089885133093,1.0
1.0,1.0,5.0,2.0,5.0,2.0,3.0,0.9858805858380004,3.0
1.0,2.0,4.0,2.0,5.0,2.0,1.0,0.9831791821387661,1.0
1.0,1.0,5.0,5.0,4.0,4.0,2.0,0.9552877769231399,2.0
1.0,2.0,5.0,2.0,5.0,2.0,2.0,0.9791322828678592,2.0
1.0,1.0,5.0,3.0,4.0,2.0,3.0,0.98258635241316,3.0
3.0,4.0,3.0,2.0,3.0,1.0,1.0,0.9719961230834357,1.0
1.0,1.0,5.0,3.0,4.0,3.0,3.0,0.9782181823384792,3.0
3.0,4.0,2.0,1.0,4.0,1.0,1.0,0.9800959577391835,1.0
2.0,3.0,3.0,2.0,4.0,1.0,1.0,0.9802809858525361,1.0
3.0,3.0,3.0,2.0,3.0,1.0,2.0,0.9708828502274022,2.0
3.0,4.0,3.0,1.0,4.0,1.0,1.0,0.9718261491461363,1.0
1.0,1.0,5.0,1.0,5.0,1.0,1.0,0.9824650764165389,1.0
1.0,1.0,5.0,2.0,5.0,2.0,1.0,0.979590045771306,1.0
2.0,2.0,4.0,2.0,4.0,2.0,1.0,0.9825029954882644,1.0
2.0,2.0,4.0,3.0,3.0,3.0,3.0,0.9830763602387848,3.0
2.0,2.0,4.0,3.0,4.0,2.0,1.0,0.9783089410552999,1.0
1.0,1.0,5.0,3.0,5.0,3.0,1.0,0.9709236394647008,1.0
1.0,2.0,4.0,2.0,5.0,2.0,1.0,0.9836460739678218,1.0
3.0,4.0,2.0,2.0,1.0,1.0,3.0,0.9649726962981384,3.0
1.0,2.0,4.0,1.0,5.0,1.0,3.0,0.989111569346718,3.0
2.0,2.0,4.0,3.0,5.0,3.0,5.0,0.9761386070879752,5.0
1.0,1.0,5.0,4.0,5.0,4.0,4.0,0.9777026613254681,4.0
1.0,1.0,5.0,2.0,5.0,2.0,3.0,0.990466185938428,3.0
