table,ran,epsilon,model,modality,modality_key,folds,selected_feature_count,accuracy_pct,accuracy_std_pct,sensitivity_pct,sensitivity_std_pct,specificity_pct,specificity_std_pct,f1_pct,f1_std_pct,auc_roc_pct,auc_roc_std_pct,auc_pr_pct,auc_pr_std_pct,train_time_s,train_time_std_s,test_time_s,test_time_std_s,algorithm_total_time_s,algorithm_total_time_std_s,end_to_end_time_s,end_to_end_time_std_s
Bang 3.4,20,0.2,FKG-MM,Fusion Hadamard,fusion_hadamard,5,5.0,68.63000000000001,14.18817641559338,39.0,11.10638557560544,71.17614885749943,16.04953078161255,17.59432129347977,4.0668646410153,58.18395429145266,5.93194352322722,13.228356333004571,3.84257840588029,2.506532208042336,1.671160764170327,4.89060640335083,1.2006798387260955,4.909634637832641,1.2074008577795394,7.397138611393165,1.690086792357663
Bang 3.4,20,0.2,FKG-MM,Fusion Tensor,fusion_tensor,5,30.0,91.724,0.3045160094313611,0.0,0.0,99.72972607369864,0.24672938211134998,0.0,0.0,50.360367672422534,0.40999528103787003,8.104543290493451,0.25555919941269,78.27169525713835,4.405520803349584,52.43986563682556,1.0762673734537382,125.76702556610108,1.3701981754875616,130.7115608939639,4.243990423639332
Bang 3.4,20,0.2,FKG-MM,Fusion Wrapper,fusion_wrapper,5,5.6,80.796,5.786728782308704,40.89473684210526,21.045722550512018,84.25316333519973,6.81643951465833,25.56829583460018,10.9488963245814,63.911774536276475,12.21277635748698,21.640698218693192,9.48927684426104,28.07198824200896,3.7330746210393855,3.7285264492034913,0.129664864555641,3.761897563934326,0.1393386898818892,31.80051469121245,3.778418455840287
Bang 3.5,20,0.3,FKG-UM,Du lieu dang bang full,table,5,13.0,90.728,1.5881026415191148,24.684210526315788,19.28105294765,96.48888118685007,2.83348887187239,26.64502164502164,14.72346813282916,71.36371135819275,8.25522217171237,22.91951262657331,12.31260038638909,4.069611567081301,1.04474351701865,7.887507247924804,0.7813187645686188,8.986890840530396,0.859051375606287,11.957118815006108,1.367766675367608
Bang 3.5,20,0.3,FKG-UM,Du lieu anh,image,5,7.0,70.12,5.988259346421125,35.89473684210526,20.017824467181537,73.08019339673257,7.74910255134255,15.24986814572361,7.394458876075411,56.188379424003266,11.11433067375248,11.888945362966979,3.5449664874255298,2.588609712611651,0.1184414935569918,4.8898578643798825,0.110351978446087,4.954831647872925,0.1104995570602407,7.478467576991534,0.0676114691516408
Bang 3.5,20,0.3,FKG-MM,Du lieu anh+bang,fusion,5,16.0,91.392,0.440306711282034,6.21052631578947,5.791267664633961,98.83124912141004,0.50987094495304,9.91841491841492,8.29763982816557,66.26559387457776,3.76460842327831,13.445042877059429,2.08054325929082,6.2944924738316335,1.821919952221955,13.98817286491394,1.0265515554689248,16.10435791015625,1.0490777900456838,20.282665338745574,1.9401614380752903
Bang 3.5,20,0.3,FKG-MM,Fusion Filter,fusion_filter,5,16.0,91.722,0.5126597312057974,6.21052631578947,5.791267664633961,99.19039750746424,0.6648587098436399,10.17269686834904,8.267172516200521,62.639303378585474,2.1112615661162604,12.62239687562949,1.51832566531997,6.567863454122562,0.1556027633234399,15.455283641815186,1.4136142402308136,17.93520336151123,1.4560021855423475,22.023147095937748,1.38594856652576
Bang 3.5,20,0.3,FKG-MM,Fusion Hadamard,fusion_hadamard,5,5.0,67.726,14.187594228761968,33.99999999999999,11.9980954167238,70.65348265295508,15.502220814108899,15.54734173786822,6.10567696374043,51.885969080637196,10.19102594321459,10.98030531112686,3.97020910494466,2.496315304355812,1.677489797962198,4.54576587677002,0.4022004750687914,4.561081075668335,0.4028278042695636,7.042081181125832,1.6177778808152004
Bang 3.5,20,0.3,FKG-MM,Fusion Tensor,fusion_tensor,5,30.0,91.724,0.3045160094313611,0.0,0.0,99.72972607369864,0.24672938211134998,0.0,0.0,50.359961852971615,0.34145206436222997,8.10396159719249,0.23592032422631,78.38286459536467,4.4753014121579975,56.47644772529602,8.59963384497673,129.90639147758483,9.962020039788786,134.85931232066068,13.044897081604883
Bang 3.5,20,0.3,FKG-MM,Fusion Wrapper,fusion_wrapper,5,5.6,81.128,6.358484096071957,42.0,16.486374799106702,84.52749545601037,7.134794412887841,27.495369987533678,11.29033836873523,64.70662428912925,12.6632633160393,21.82405418544039,10.02073666965056,28.0825382641342,3.735434425597215,3.866783094406128,0.1969990986039944,3.902762985229492,0.2037540678293939,31.949321358540328,3.781328576229444
