0,1,2,3,4,5,6,7,8,9,10,11,12
1.0,1.0,5.0,5.0,4.0,5.0,2.0,1.0,2.0,2.0,3.0,0.9987163854141129,3.0
1.0,1.0,5.0,4.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,0.999869734981802,1.0
1.0,2.0,4.0,2.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,0.9997097006867685,1.0
1.0,1.0,5.0,2.0,5.0,1.0,2.0,1.0,2.0,4.0,2.0,0.9996947768150104,2.0
5.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,0.9910983005478585,5.0
1.0,1.0,5.0,2.0,5.0,2.0,3.0,4.0,3.0,4.0,1.0,0.9997828306271562,1.0
1.0,1.0,5.0,4.0,5.0,3.0,2.0,1.0,2.0,2.0,3.0,0.9997007987904384,3.0
3.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,0.999819959769146,2.0
3.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999388937459049,1.0
1.0,2.0,4.0,2.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,0.9998435925554596,1.0
1.0,1.0,5.0,3.0,5.0,2.0,2.0,1.0,2.0,3.0,2.0,0.9996473649411245,2.0
1.0,1.0,5.0,5.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,0.9992889706462168,3.0
1.0,1.0,5.0,1.0,5.0,1.0,2.0,1.0,2.0,4.0,4.0,0.9998939153122537,4.0
3.0,4.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,0.9996378947337049,4.0
2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,0.999743201086209,1.0
3.0,4.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9998349439517458,2.0
1.0,1.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9998242865797683,1.0
1.0,2.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9997857959956972,1.0
1.0,1.0,5.0,5.0,2.0,5.0,3.0,4.0,3.0,4.0,3.0,0.9997392072161105,3.0
1.0,2.0,4.0,3.0,4.0,2.0,2.0,1.0,1.0,3.0,3.0,0.9998780069194467,3.0
1.0,2.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,0.999753298344686,1.0
1.0,2.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,0.9995706389461867,2.0
2.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,0.999666108610974,6.0
1.0,1.0,5.0,3.0,5.0,3.0,2.0,1.0,2.0,4.0,1.0,0.9996785414007063,1.0
1.0,1.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9997722196127719,1.0
1.0,2.0,4.0,3.0,4.0,3.0,2.0,1.0,2.0,3.0,2.0,0.9996469422263476,2.0
5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.9906043398240967,3.0
1.0,1.0,5.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,5.0,0.9935205290974763,5.0
3.0,4.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997364767579497,1.0
2.0,3.0,3.0,1.0,5.0,1.0,2.0,1.0,2.0,4.0,3.0,0.9996738167839572,3.0
2.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9997440292058009,2.0
1.0,1.0,5.0,3.0,5.0,2.0,4.0,2.0,4.0,5.0,1.0,0.9994928417509735,1.0
2.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,0.9997486609443557,3.0
3.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,0.999797968984344,1.0
3.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,0.9998422790378039,5.0
1.0,2.0,4.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,4.0,0.99986884111834,4.0
1.0,1.0,5.0,2.0,5.0,2.0,4.0,4.0,3.0,5.0,3.0,0.9998028528381675,3.0
1.0,1.0,5.0,2.0,5.0,2.0,3.0,4.0,3.0,4.0,2.0,0.9997332862796611,2.0
3.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9996546466965711,1.0
1.0,1.0,5.0,2.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,0.9998293631555415,1.0
3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,0.9997937457946855,1.0
1.0,1.0,5.0,2.0,5.0,2.0,3.0,1.0,2.0,4.0,1.0,0.999882723015774,1.0
1.0,1.0,5.0,4.0,4.0,3.0,1.0,1.0,1.0,2.0,5.0,0.9998599994560801,5.0
1.0,1.0,5.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,1.0,0.9996408070270318,1.0
2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,0.9998237716047319,3.0
1.0,1.0,5.0,2.0,5.0,1.0,4.0,4.0,3.0,4.0,3.0,0.999693873399069,3.0
